"","Age","HS","Income","Price","Sales"
"Age",1,-0.098916262964413,0.256580975815096,0.247756733622777,0.226554919265313
"HS",-0.098916262964413,1,0.534005339991742,0.0569747320456308,0.0666947645882432
"Income",0.256580975815096,0.534005339991742,1,0.214557174650855,0.326067894536122
"Price",0.247756733622777,0.0569747320456308,0.214557174650855,1,-0.300622633648395
"Sales",0.226554919265313,0.0666947645882432,0.326067894536122,-0.300622633648395,1
