DATE,SBUX,AMZN,MKTminusRF,SMB,HML,RMW,CMA,MOM,RF
20110822,,,-.0003,-.0004,-.0072,.0058,-.0005,-.0003,0
20110823,.0527372,.0901769,.036,.0115,-.0097,.0002,-.0062,.0214,0
20110824,.0174244,.00093,.0135,0,.0083,-.0036,.0055,-.0032,0
20110825,-.0254215,-.0087751,-.0167,-.0086,.0044,-.0003,.0003,-.004,0
20110826,.0266338,.0377025,.0174,.0085,-.0107,.0029,-.0056,.0133,0
20110829,,,.0311,.016,.0061,-.0105,.0036,.0008,0
20110830,.0118266,.021256,.0032,.0021,-.0066,.0027,-.0009,.007,0
20110831,.0031169,.0204343,.0042,-.007,.0023,-.0011,-.0006,-.0034,0
20110901,,,-.0133,-.0115,-.0053,.0044,-.0016,.006,0
20110902,-.0183293,-.0119507,-.0264,-.009,-.004,.0043,-.0007,.0037,0
20110906,,,-.0071,.0035,-.0054,.0026,-.0016,.0113,0
20110907,.0378808,.0172079,.0306,.01,.0056,-.0108,.001,-.0142,0
20110908,-.0066361,-.0120055,-.0118,-.0086,-.0034,.0019,-.0019,.0076,0
20110909,-.0413668,-.0270183,-.0265,-.0021,.0013,.0023,.0001,.0014,0
20110912,,,.0068,.0002,.0012,-.0028,-.0016,-.0016,0
20110913,.0143426,.0137144,.0112,.0074,-.0049,-.0001,-.0008,.0005,0
20110914,.0094266,.0138478,.0145,.0039,-.004,.0006,-.0021,.0004,0
20110915,.013489,.0189154,.0164,-.0048,.0042,-.0025,.0006,-.006,0
20110916,.0033274,.0552077,.0047,-.0041,-.002,.0023,-.0014,.0057,0
20110919,,,-.0099,-.006,-.0108,.0103,-.0029,.0186,0
20110920,-.0019436,-.0349208,-.0045,-.0144,.0033,.001,.0025,.0032,0
20110921,-.0287244,-.0059164,-.0292,-.0055,-.0099,.004,-.0035,.0106,0
20110922,-.0323308,-.0372623,-.0329,.001,.0054,.0047,.0056,.0033,0
20110923,.00259,.0017023,.0074,.0071,-.0016,-.001,.0014,-.009,0
20110926,,,.0228,-.0048,.0086,-.0044,.0005,-.0109,0
20110927,.0091162,-.0245377,.0122,.0102,-.0056,-.0015,-.0017,.0006,0
20110928,-.0105395,.0245306,-.0229,-.017,0,.0066,.0001,.0036,0
20110929,-.0319554,-.0316486,.0077,.0067,.0171,-.009,.0078,-.0181,0
20110930,-.0230547,-.0279177,-.025,-.0025,.0004,.0026,.0017,.0069,0
20111003,,,-.0318,-.0204,-.0045,.0107,.0007,.0109,0
20111004,.0290055,.0024531,.0268,.0366,-.0016,-.0056,-.0022,-.0158,0
20111005,.0214765,.0329412,.0192,-.0023,-.0052,-.0038,-.0039,-.0041,0
